name,price,rr
"REDMI A1 (Black, 32 GB)","₹6,424","5,694 Ratings & 278 Reviews"
Nokia 150 DS 2020,"₹2,499","21,953 Ratings & 1,694 Reviews"
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 128 GB)","₹19,189","55,065 Ratings & 4,112 Reviews"
"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)","₹10,999","1,34,619 Ratings & 7,764 Reviews"
"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹16,999","1,76,077 Ratings & 13,830 Reviews"
"REDMI 10 (Pacific Blue, 128 GB)","₹11,999","28,068 Ratings & 1,976 Reviews"
"POCO M4 Pro (Power Black, 64 GB)","₹12,999","1,61,445 Ratings & 14,341 Reviews"
"MOTOROLA G62 5G (Frosted Blue, 128 GB)","₹17,149","8,421 Ratings & 803 Reviews"
"I Kall King Talking, Contact icon and Auto Call Recording",₹744,"16,497 Ratings & 1,487 Reviews"
"POCO M4 Pro (Yellow, 128 GB)","₹13,999","1,61,445 Ratings & 14,341 Reviews"
"Infinix HOT 20 Play (Aurora Green, 64 GB)","₹8,299","16,806 Ratings & 900 Reviews"
"Infinix HOT 20 Play (Luna Blue, 64 GB)","₹8,299","16,806 Ratings & 900 Reviews"
GREENBERRI G370,"₹1,299",9 Ratings & 7 Reviews
"Infinix HOT 20 Play (Racing Black, 64 GB)","₹8,299","16,806 Ratings & 900 Reviews"
"realme 10 Pro+ 5G (Nebula Blue, 256 GB)","₹27,999","7,318 Ratings & 791 Reviews"
"REDMI A1+ (Light Blue, 32 GB)","₹6,999",848 Ratings & 59 Reviews
SAMSUNG Guru Music 2,"₹1,850","2,01,464 Ratings & 18,595 Reviews"
"REDMI A1 (Light Blue, 32 GB)","₹6,465","5,694 Ratings & 278 Reviews"
"POCO M5 (Power Black, 128 GB)","₹11,999","1,991 Ratings & 133 Reviews"
"SAMSUNG Galaxy M33 5G (Deep Ocean Blue, 128 GB)","₹16,449","8,755 Ratings & 688 Reviews"
"MOTOROLA g73 5G (Lucent White, 128 GB)","₹18,999","3,616 Ratings & 608 Reviews"
"Infinix HOT 20 Play (Fantasy Purple, 64 GB)","₹8,299","16,806 Ratings & 900 Reviews"
"Google Pixel 6a (Chalk, 128 GB)","₹29,999","35,359 Ratings & 4,320 Reviews"
"Google Pixel 6a (Charcoal, 128 GB)","₹29,999","35,359 Ratings & 4,320 Reviews"
"Infinix Hot 20 5G (Blaster Green, 128 GB)","₹13,499","2,681 Ratings & 244 Reviews"
"Infinix Hot 20 5G (Space Blue, 128 GB)","₹13,499","2,681 Ratings & 244 Reviews"
"realme Narzo 50 (Speed Black, 128 GB)","₹12,999","8,197 Ratings & 591 Reviews"
SAMSUNG Guru Music 2,"₹2,098","2,01,464 Ratings & 18,595 Reviews"
"Infinix NOTE 12i (Alpine White, 64 GB)","₹9,999","3,299 Ratings & 366 Reviews"
